ds,spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
300000,4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,97.471,4198390.128,1490.749,384777124.5,26570.045,79.613,0.187,0,0,5.408,78.195,285928.047,178410.593,20410.537,8856.667,108174.333,664612371.7,4298886532,558870782,564023376,154.667,379762.333,379980,86772736882,486942,487093.667,1.05E+11,1891531697,29968130271,10996973363,67189666,93441738,208944757.7,458.333,81.333,1409.333,10718510606,19641275792,93.443
300000,2,6,25,0.61,0.68,1,1,0,0,34,1,0,81,1,3,103,140,9,4,955,76,797,10,1,63,434,14,4,2,9,383.745,13459455.96,1896.379,498438243.2,41503.92,28.948,0.475,0,0,1.822,98.356,599259.658,127732.224,32148.473,10629.667,107488.667,655472076,4164619932,543657149.7,545419282,44,368691.667,368785.333,80116015579,487114.667,487264.667,80575899381,1694371224,24709998804,10244234808,60910071.33,94858639.67,216375272.7,82.333,48,1308.333,9743871837,15411954210,74.416
300000,5,6,49,0.58,0.66,0,0,1,0,113,0,1,68,0,2,32,48,5,5,661,100,828,33,2,25,413,7,4,2,3,138.235,5053699.18,1507.243,426650411.8,31529.046,168.628,0.248,0,0,4.582,221.84,607948.996,351861.368,24352.683,9318,100848.333,703335174.7,4154876565,602313504.3,597530262.3,44.667,395601,395702,99703448986,469410,469559.333,1.43E+11,1775636092,36242213218,11575097692,64743995.67,90770511.67,229216398.7,1307.333,60.333,1193.333,11170671789,25073859265,74.926
300000,7,2,12,0.53,0.4,0,1,1,0,2,1,1,21,0,1,22,28,3,6,479,52,820,30,2,58,142,5,3,4,5,285.594,8366577.188,4418.447,1371165045,53502.378,267.809,0.468,0,0,1.701,261.398,1095198.407,546536.031,38430.816,9768.667,115547.333,690867407.3,4315956101,558564565,562425748.3,76.333,299810,299946,83218341620,506997.333,507146.667,89922372655,1785793846,27166788089,11030266920,67297691.67,80238007.67,211618818.3,0,11.333,929,10176222954,17773430529,148.734
300000,3,3,34,0.42,0.64,0,1,0,1,41,0,0,2,1,4,82,128,5,6,219,67,468,45,1,20,170,10,2,4,3,108.019,5930228.708,1803.035,449075642.7,37048.939,44.72,0.258,0,0,3.658,108.301,422358.546,227745.997,28731.402,7350.333,96392,489825781.3,3821140995,496160541.3,497736105.7,54,289012.333,289118,70518498783,456784.333,456934.333,76129716277,1450823581,23101423403,9349486836,53394397,58676137.67,176348655.3,1460,133.333,2289.667,9219768353,14242342129,83.628
300000,1,2,50,0.46,0.34,1,1,1,0,47,1,0,89,0,4,29,67,4,8,211,59,1022,17,2,92,211,5,2,7,8,30.408,4940321.375,747.46,375975743.5,31187.147,12.887,0.201,0,0,4.825,68.791,617045.969,333039.237,24110.217,7702.333,113990.333,807611813.7,4536582448,588951849.3,585838726,76,387034.333,387155.667,93775652448,502184.333,502341,1.22E+11,1811180304,32861753538,11332052763,75612149,73194417.33,204740590,4335,2211,1870.333,11049358877,22929380021,111.288
300000,4,5,52,0.7,0.55,0,1,2,1,52,1,1,56,1,4,20,182,10,6,691,115,337,37,2,34,444,12,4,6,1,112.994,5068895.907,1603.261,404565194.4,31887.868,138.401,0.227,0,0,5.627,78.615,326963.645,236566.518,23593.97,9250.333,105965.333,721553329.7,4198329060,617423392,614557383,66.333,334043,334164.667,1.06E+11,484145.667,484301.667,1.57E+11,1766234238,38364358363,11665732579,62016873.33,69025857.67,200664652.3,100,6,784.333,11608934297,26248245485,89.298
300000,2,2,35,0.5,0.51,1,0,2,0,101,0,0,102,0,2,43,15,7,3,617,96,495,25,3,22,132,4,1,8,7,860.688,21448105.43,2596.557,555600935,36709.836,22.051,0.791,0,0,1.741,168.459,969938.032,150840.745,28384.518,11745.333,103609,737011641,4423939876,583820039.3,582606848.7,101.667,491814.333,491966.333,90829044330,494648.667,494807.667,88337511869,1854297994,27365860367,11140635378,70659563.67,114499018.7,245071288.7,138.333,91.667,1745.333,10885681795,17138171597,91.365
300000,5,2,104,0.81,0.6,1,0,1,0,84,0,1,74,0,3,112,12,7,3,438,81,104,46,2,87,404,7,4,1,2,96.637,3724546.054,1416.901,270304552.3,21435.116,216.492,0.185,0,0,5.709,157.088,409500.657,230868.934,15582.343,9830,105345.667,664580924,4404968663,561704863,567755576.3,58,350135.667,350251.333,90956140505,482367.667,482516.333,1.11E+11,1934329908,31680610784,11421952783,69220843.67,85175580.67,220520258.3,14,38.333,785.667,11241103878,20229474763,96.686
300000,4,5,76,0.69,0.43,0,0,0,1,124,1,0,47,1,3,116,88,4,4,290,22,174,12,1,29,322,7,7,4,6,679.159,10182681.52,2066.94,350080926.6,24965.903,39.918,0.22,0,0,3.269,60.352,346610.162,88241.482,19101.847,12694.667,109497.333,705507007.3,4429625135,555721592.3,559612915,56,317633.667,317741,89672098605,492461,492613,86923601339,1948636177,26229839254,10606847140,67045624.33,85249199.33,223736908.7,280.333,172,1746.667,10357941748,16763330651,86.231
