ds,spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
5600000,3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,136.057,5359652.368,469.763,44647592.8,3916.584,6.227,0.046,0,0,63.494,5.014,41667.262,21503.935,895.363,20695.333,349388.667,1232843582,8981263879,1022493435,1029192548,67.333,372131,372289,1.55162E+11,2299088.333,2299248.333,1.55473E+11,3831048260,49520477521,19343619458,114019313.7,116457657.3,356886197.7,1003.333,499.333,2435.667,19077660829,30155152088,101.613
5600000,1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,459.211,17251851.98,585.467,54982688.2,3986.21,6.234,0.115,0,0,8.782,40.216,73347.541,4229.872,895.363,27717,386580,1427351688,9463269550,1130367576,1127736295,95.667,352479.667,352691.667,1.81354E+11,2387389,2387545.333,1.63974E+11,4238844871,49892583880,20394589066,141550201,141450496.7,395839394.3,38.667,46.333,1702.667,20427688342,33232598823,117.97
5600000,4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,24.339,3592113.871,359.276,45256111.18,3933.106,47.46,0.041,0,0,65.184,10.892,36953.76,25718.551,895.363,12450,220752.667,1209789093,7990519919,1000379379,1004743461,138.667,341577,341812.333,1.52694E+11,1854663.333,1854823.333,1.64147E+11,3368749321,50407794784,19697749343,116069140,130942092,350486998.7,121.333,121,915.333,18976699431,32007220370,92.513
5600000,5,4,128,0.69,0.35,0,0,1,1,72,0,1,66,0,6,48,19,9,7,795,19,551,14,2,20,311,7,3,7,5,17.745,3581555.954,416.24,41908958.66,3925.622,23.999,0.034,0,0,90.48,9.688,34118.295,43437.587,895.115,13704.333,175274,1253466263,8032248388,1019318320,1013641459,44,337027.333,337176.333,1.59289E+11,1868788,1868954.333,1.72301E+11,3685917311,50585246920,19113330460,128287381.3,126818706,337671276,526.667,68.333,1538,19477897054,32655934062,88.124
5600000,7,3,99,0.8,0.76,1,0,1,1,30,1,0,119,0,6,104,28,8,6,300,126,985,26,3,95,144,6,2,2,4,186.747,4070787.074,573.464,50655425.73,3872.921,8.755,0.032,0,0,83.51,20.183,35002.92,41658.858,884.796,9513.667,331663,997016339.3,9885303731,1098856555,1107545925,5123.333,587514.667,592704,1.669E+11,2149948,2150104.333,1.86485E+11,3760959968,55644976365,22895910871,81501667.33,125019667.3,427102342.7,5891.667,3292.667,13471.333,22787106578,35515317975,139.057
5600000,3,2,104,0.57,0.54,0,1,1,0,85,0,1,26,1,1,96,85,7,7,550,5,527,43,2,48,106,10,3,3,6,97.334,5310263.868,502.595,52251719.74,3938.584,40.66,0.069,0,0,53.708,7.431,44982.992,17689.481,895.363,14041.667,167085.333,1126575590,7661449770,1003967282,1007518975,42,311619.333,311725.667,1.54167E+11,1846964,1847126,1.59425E+11,3605591445,48978449688,19243916900,101204285,117331764,348604199.3,6,0,984.333,18510118970,32258367349,99.293
5600000,5,3,61,0.37,0.55,0,1,1,0,68,1,1,108,1,5,44,88,6,4,667,78,41,36,0,43,242,5,4,7,5,17.535,3522898.552,469.565,46762691.74,3926.999,49.971,0.049,0,0,71.818,14.048,34097.109,28574.884,895.363,11578.667,164075.667,1119783027,7634330524,974552407.7,980674989,44,316211,316325.333,1.4061E+11,1837642.667,1837797.667,1.50835E+11,3173519241,47308735944,18739055423,103159247.7,113259430.3,324396551,81,14.667,1197,18021578415,28963594616,90.59
5600000,5,5,48,0.88,0.42,0,0,1,1,79,0,1,69,0,3,42,190,5,8,609,54,876,22,3,62,402,14,1,4,3,49.904,3755167.224,395.057,42405341.53,3900.711,3.929,0.031,0,0,57.221,26.012,50087.064,27490.349,895.363,10936.333,168428,1067484871,8336246584,1051776289,1054582914,66.667,462539.667,462700,1.4843E+11,1858925.667,1859086.333,1.65288E+11,3337350854,51419041600,20355402204,98504120,127195642.3,368420795,98.333,119.667,10731,19836870123,31008265704,84.919
5600000,1,3,44,0.34,0.3,0,1,1,0,20,1,1,57,0,3,26,180,4,3,505,29,452,6,0,67,261,11,2,3,5,21.504,4125539.179,191.037,37164372.42,3907.771,5.003,0.036,0,0,64.668,1.209,48903.401,28674.012,895.363,13854.667,194847,1198252485,7845744543,999604585.3,1002005241,47.667,315518,315630.333,1.4077E+11,1915073,1915230,1.50492E+11,3117665797,44507650092,18344813680,97556056,121400259.7,335721074.3,3,0,1807.333,18465850355,28882109843,108.803
5600000,7,3,33,0.46,0.86,1,1,1,1,120,0,0,13,1,2,54,193,2,3,336,89,665,46,3,65,354,11,3,8,5,67.667,4040533.76,602.866,54521199.8,3922.786,24.837,0.038,0,0,72.819,16.469,33999.941,28672.296,895.363,11786.333,161028.667,1091362692,7745851560,1003211203,1008944114,44,503307.333,503411.333,1.58668E+11,1841004,1841170,1.58691E+11,3246073453,48523004684,19595978216,109625021,121281465,363720835.7,4972,2825.333,12563,19481779979,30519828379,87.303
5600000,4,4,38,0.39,0.84,1,0,0,1,102,1,0,40,1,2,81,56,7,9,426,66,949,18,0,74,421,3,8,2,4,181.259,5195379.044,673.923,50505061.02,3941.418,65.549,0.07,0,0,66.718,8.529,40731.475,27474.911,895.363,15814,168578,1194804206,7659730153,1009924985,1012617420,44,316645,316763.333,1.49635E+11,1848458.667,1848615,1.52368E+11,3469698798,47467477831,18909685447,115728767.3,121281494.7,341284085,6.333,0,723.667,18623086790,30271192170,96.814
5600000,2,2,36,0.31,0.31,0,0,1,0,23,1,0,100,1,3,67,50,5,3,361,34,298,45,0,50,271,5,7,1,3,98.021,5412415.001,357.848,46435804.15,3937.699,42.649,0.041,0,0,40.987,9.329,49417.525,13255.604,895.363,12914,163168,1146666972,7707444216,986920546.7,991494453.7,47.667,319868.667,319978.333,1.45025E+11,1833101,1833257,1.52383E+11,3233670667,46736886879,18957462568,108369554,125283053.7,349522556.7,34.667,6,722.667,18255706134,29811368136,95.322
5600000,2,4,82,0.42,0.89,1,0,1,1,56,0,1,92,0,2,61,101,6,10,158,36,244,14,3,70,211,9,6,4,7,16.379,4529822.388,436.606,40663193.05,3928.543,2.897,0.06,0,0,46.322,2.482,54379.35,23198.063,895.363,15253,226341.333,1225766008,8611150740,1084401505,1084299736,144.667,578842,579078,1.60403E+11,1879047.667,1879210.667,1.64295E+11,3379684219,50474700387,20482022929,114878659,147633664.3,382852909,4298,3023,12789.667,20194323653,31696521034,99.828
5600000,3,5,90,0.5,0.62,0,0,1,1,107,0,0,74,1,3,21,62,7,8,720,96,1012,5,1,85,498,2,4,8,2,127.917,5568098.698,487.048,49998590.04,3916.424,9.985,0.049,0,0,61.634,6.477,44074.911,18597.417,895.363,12417,197295,1133418033,8237293979,1029971372,1025745628,50.667,402378.667,402492,1.49378E+11,1918665.667,1918830.333,1.54094E+11,3764872959,48894470363,19511752824,92700568.67,107075694,335292277.3,817,208.333,2157.333,17931421806,31247234406,98.323
