ds,spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3200000,1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,23370.6,279402701.1,690.475,349061659.9,1730.575,50.675,0.725,0,0,0.4,0.05,10244.6,677.375,799.825,12638,241873,332323453,3792226351,416518935,406185248,274,267397,267722,52557789422,799421,799570,51953706833,1119276831,16185053490,6752127995,34540261,54055842,139372001,0,526,966,6529214544,10328158944,87.368
3200000,8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,747.7,9924717.638,544.238,35366944.02,1238.362,6.3,0.112,0,0,12.6,1.781,1667.775,1609.581,199.956,5616,71236,324722956,2954334572,381755863,384353398,40,507165,507225,51642441427,385618,385777,53099551990,1071180405,15796259639,6857769797,26038549,57814908,150024464,1106,1352,8038,6874973565,10454475152,24.164
3200000,4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,42.72,5301157.03,208.56,20465070.96,1230.74,2.86,0.04,0,0,21.76,0,0,4354.03,319.93,4846,64375,287731286,2545144542,328379151,325295786,32,272622,272678,45884807255,345666,345820,50543774973,937109828,15215629530,6718139994,27787635,44156285,115011052,0,7,418,5789889450,10046977251,10.762
3200000,7,3,37,0.53,0.68,1,1,2,0,20,1,1,5,1,6,65,98,5,4,396,114,440,4,0,70,393,14,3,1,4,1492.841,16809692.07,249.841,58002601.8,1260.652,20.971,0.044,0,0,9.087,4.391,3023.783,3412.449,463.667,5250,70317,275987268,2627495871,346707060,348720590,32,232051,232118,45307237928,356570,356718,48190014276,988875200,14638319063,6249566210,22571033,41653611,134980711,46,0,697,6031695449,9472786714,18.877
3200000,8,2,60,0.58,0.44,0,0,1,1,16,0,0,37,1,1,73,32,2,8,909,18,885,30,3,56,145,7,6,7,8,2508.609,21586101.48,385.359,74115593.47,1289.88,7.794,0.12,0,0,5.913,3.62,3360.902,1320.87,347.75,4369,64848,280822217,2669653765,350201254,338847958,32,412150,412199,45495492297,352660,352819,48244319769,967124447,14529543176,6312975195,22662560,34122385,122185572,177,242,5867,6211859198,9532096770,19.717
3200000,2,5,108,0.61,0.62,0,0,0,0,119,1,0,49,0,5,125,73,4,7,297,79,171,48,3,63,174,10,7,8,5,412.464,12935975.66,203.971,23668431.55,1229.507,1.471,0,0,0,21.6,0.921,390.143,2730.421,228.521,5030,71601,321087614,2758402261,370464789,369922299,32,448396,448441,48123834344,382352,382510,50796997943,1141440609,16733797665,7163705400,26096118,48684327,138286378,268,312,5789,6340670442,10496457382,31.941
3200000,5,2,40,0.59,0.68,0,0,2,0,38,0,0,60,1,5,78,157,9,7,643,104,997,15,0,91,450,1,5,4,4,2018.764,21839932.39,261.778,59035106.25,1270.236,17,0.042,0,0,12.222,0.472,1944.667,4279.264,444.347,4669,63397,285190007,2367352890,332470852,335105657,32,236931,236999,43093359731,344418,344566,45829168806,924216116,14452416713,6176857063,23353858,33496595,109597432,16,0,632,5571683830,9452216169,20.35
3200000,1,3,28,0.4,0.88,1,0,2,0,55,1,0,67,0,3,21,190,7,10,805,107,85,41,1,66,279,2,6,2,9,1903.967,54641057.98,147.133,74639476.5,1275.283,6.3,0.1,0,0,6.533,0.917,4096.1,3185.217,533.217,5457,65944,294428496,2609220348,342711650,345069763,38,261835,261888,46275261299,349720,349872,47935245431,971249861,14799314703,6088499578,24000255,56697050,123007333,0,48,1527,5844250992,9268754445,34.773
3200000,7,2,125,0.38,0.75,0,1,1,1,93,1,0,43,0,4,43,126,4,7,242,86,608,9,2,47,340,11,4,6,6,1306.809,13211176.2,311.631,41001722.89,1268.459,13.121,0.07,0,0,8.306,5.019,1896.841,885.828,203.777,6149,75154,323987941,2904827684,374428036,374652961,32,251649,251714,51966506004,375728,375886,60057884857,1043522397,17869817179,7140368453,32930672,41198528,135494769,0,0,619,6397142328,12217120316,21.165
3200000,8,3,47,0.36,0.34,0,0,0,1,126,1,0,9,0,2,84,150,7,4,434,15,34,17,1,23,242,10,5,3,6,2915.19,24503245.58,462.418,84305250.22,1284.671,42.81,0.291,0,0,6.38,17.924,3659.987,1870.127,404.975,4016,62747,279084505,2411554571,327408484,325246447,32,242703,242753,43874334793,337464,337615,47253316844,921521672,13838202539,6236983071,21920743,30300501,107871330,93,0,728,5984704219,9184713781,20.134
3200000,4,1,13,0.64,0.64,1,0,2,1,112,1,0,44,0,2,116,42,7,8,766,88,862,33,2,78,140,5,8,5,2,10290.089,78128614.56,456.089,144647262.8,1391.333,22.378,0.311,0,0,2.578,0.156,6905.311,2803.111,710.956,5827,65793,322591151,2385420444,340659995,337406013,32,246039,246108,46944802400,348644,348802,49503957468,963709522,15105926413,6360352101,26430117,32196545,114385705,311,187,592,5592748873,9722218328,33.399
